time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-02 00:00:00+00:00,1.0,1.0,5,1
2023-09-03 00:00:00+00:00,1.0,1.0,1,1
2023-09-04 00:00:00+00:00,2.0,2.0,29,6
2023-09-05 00:00:00+00:00,1.0,1.0,6,4
2023-09-06 00:00:00+00:00,1.0,1.0,4,2
2023-09-07 00:00:00+00:00,1.0,1.0,6,2
2023-09-08 00:00:00+00:00,1.0,1.0,22,3
2023-09-09 00:00:00+00:00,1.0,1.0,2,2
2023-09-10 00:00:00+00:00,2.0,2.0,106,1
2023-09-11 00:00:00+00:00,2.0,2.0,35,5
2023-09-12 00:00:00+00:00,2.0,2.0,31,3
2023-09-13 00:00:00+00:00,6.0,3.0,16,3
2023-09-14 00:00:00+00:00,4.0,2.0,10,2
2023-09-15 00:00:00+00:00,,,10,3
