time_iso8601,stars_cumulative
2023-07-21 00:00:00+00:00,1
2023-07-24 00:00:00+00:00,2
2023-07-28 00:00:00+00:00,3
2023-07-30 00:00:00+00:00,4
2023-08-29 00:00:00+00:00,5
2023-10-10 00:00:00+00:00,6
2023-11-24 00:00:00+00:00,7
2024-01-06 00:00:00+00:00,8
2024-01-23 00:00:00+00:00,9
2024-03-05 00:00:00+00:00,10
2024-03-08 00:00:00+00:00,11
2024-04-24 00:00:00+00:00,12
2024-05-22 00:00:00+00:00,13
2024-05-29 00:00:00+00:00,14
2024-06-05 00:00:00+00:00,15
2024-06-14 00:00:00+00:00,16
2024-09-03 00:00:00+00:00,17
2024-09-09 00:00:00+00:00,18
2024-09-19 00:00:00+00:00,19
2024-12-05 00:00:00+00:00,20
2025-01-13 00:00:00+00:00,21
2025-03-14 00:00:00+00:00,22
2025-04-28 00:00:00+00:00,23
2025-05-21 00:00:00+00:00,24
